Sl. No,UdiseCode,SchName,School Management,School Category ,District Name,Block Name,Cluster Name,Village Name,SchLocation,Schtype,"Building Status (1-Private Owned, 2-Rented, 3-Government Owned, 4-Government School in a Rent free building, 5-NO
Building (Running in Open Place), 6-School Running in other Department Building)",Total Number of Building Blocks of the School,"Type of Boundary Wall (1-Pucca, 2-Pucca but broken, 3-Barbed wire fencing, 4-Hedges, 5-No boundary walls, 6-Others, 7-Partial,
8-Under Construction)",Dilapidated Building,Total Classrooms in Dilapidated Condition,Halls Avaible,Medical Facilities (Medical Rooms) Available,Store Room Available,"Minority managed school (1-Yes, 2-No)","Boundary wall type (1-Pucca, 2-Pucca but broken, 3- Barbed wire fencing, 4-Hedges, 5-No boundary walls, 6-Others, 7-Partial, 8-Under Construction)","Fire extinguisher available (1-Yes, 2-No)","Whether receiving free uniform (1-Yes, 2-No)","Whether receiving free Textbook for primary (1-Yes, 2-No)","Whether receiving free Textbook for upper Primary (1-Yes, 2-No)",Girls Activity Room Available ,Electricity connection Available,Ramp Available,"If yes, specify Ramp with Handrail or without Handrail",Sport Equiptment,Separate Room for Head Teacher/Principal Available,Staffroom For Teacher,Staff Quarters (Including Residential Quarters for Head Teacher/Principal and Asst. Head Teacher/Vice Principal),Total no of Class Rooms use for Instructional Purpose ,No. of classroom under construction,No. of Pucca classroom for in good condition,No. of Pucca classroom in  for major repair,No. of Pucca classroom in  for minor repair,No. of Partially Pucca classroom for  in good condition,No. of Partially Pucca classroom for  for minor repair,No. of Partially Pucca classroom for  for major repair,No. of Kuccha classroom for  in good condition,No. of Kuccha classroom for  for minor repairing,No. of Kuccha classroom for  for major repairing,Tent,Land is Available for Expansion of School Facilities,Boy toilet available,No of toilet for Boys,No of  Functional toilet for Boys,No of CWSN(Toilet)  for Boys,No of Functional CWSN (Toilet) for Boys,Girls toilet available,No of toilet for Girls,No of Functional toilet for Girls,No of CWSN(Toilet)  for Girls,No of Functional CWSN (Toilet) for Girls,Handwash facility,Hand washing Facility near Toilet,Hand washing Facility after Meals,Drinking Water Availability,Drinking Water Functional,Are there any rainwater harvesting structures implemented within the school campus? ,Has the school availed facilities provided under the Jal Jeevan Mission (JJM)?,Solar Panel ,Is your school equipped with Solar Panel for energy generation?,"         If Yes, specify whether they are  functional or not functional","Whether your school having Sanitary Pad vending Machine - For schools having Secondary and Higher Secondary Sections (1- Yes, 2- No, 3- Yes, but not functional, 4- NO, Pads available with Class Teachers, 9 Not Applicable)",Whether your school  having functional incinerator in girls toilets - For schools having Secondary and Higher Secondary Sections,Library Facility,Does the school have a designated Library room?,Does the School have book bank facility,"If yes, No of books are available",No of Librarians,No of Computers Available in the Library Room,Reading Corner Available,Power Backup Available ,Furniture Available,Playground Available,Separate Common Room For Girls ,Co-Curricular Activity Room/Arts And Crafts Room ,Integrated Science Laboratory for Secondary Details ,No of Room Available,Maths Lab for Secondary Details ,No of Room Available ,Physics Laboratory for Higher Secondary ,No of Room Available ,Chemistry Laboratory for Higher Secondary ,No of Room Available ,Biology Laboratory  for Higher Secondary,No of Room Available ,Library Room,No of Books avaialble,Computer Room ,No of computer ,Tinkering Lab,"Internet Facility available in school (1-Yes, 2-No)","Smart classroom available in school (1-Yes, 2-No)",No of Smart classroom,ICT Lab Available,ICTLab Functional, Total Number of Desktops/Laptops ,Total Number of functional desktops,Total Number of functional Laptops,Total Number of functional Tablets,Total Number of functional digital boards,Total Number of functional projectors,Hostel Facilities for Boys,Does the school have hostel facilities for Boys?,Intake capacity,No of students are currently residing in the hostel,Hostel Facilities for Girls,Does the school have hostel facilities for Girls?,Intake capacity,No of students are currently residing in the hostel
13569,17010507401,GOPRAMGRI LP SCHOOL,Government,1 - Primary,WEST GARO HILLS-1701,DALU-170105,PURAKHASIA CRC-1707010006,GOPRAMGRI P.O PURAKHASIA,Rural,Co-ed,4,3,5,0,3,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,No,No,No,No,3,0,0,0,0,0,0,0,0,2,1,0,Yes,Yes,2,2,0,0,Yes,1,1,0,0,Yes,Yes,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Partial,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13570,17010507501,GOBINDOPARA GOVT. LP SCHOOL,Government,1 - Primary,WEST GARO HILLS-1701,DALU-170105,PURAKHASIA CRC-1707010006,Gobindapara,Rural,Co-ed,4,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,No,No,No,No,No,1,0,0,0,0,0,1,0,0,0,0,0,Yes,Yes,1,1,0,0,No,0,0,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13571,17010507701,GENAPARA BENGALI GOVT. LP SCHO,Government,1 - Primary,WEST GARO HILLS-1701,DALU-170105,PURAKHASIA CRC-1707010006,Genapara,Rural,Co-ed,4,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,No,No,No,No,No,2,0,0,0,0,0,2,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Partial,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13572,17010509203,DINARE SCHOOL,Private Unaided,1 - Primary,WEST GARO HILLS-1701,DALU-170105,SESENGPARA CRC-1707010006,Rohonpara,Rural,Co-ed,1,1,5,0,0,,,,2,5,1,No,No,N/A,No,No,No,Not applicable,No,No,No,No,5,0,0,0,0,0,0,0,5,0,0,0,No,No,0,0,0,0,No,0,0,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13573,17010512002,KONGKENANGGRE LP SCHOOL,Government Aided,1 - Primary,WEST GARO HILLS-1701,DALU-170105,NAKDANPARA CRC-1707010006,Lokkipara,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,2,0,0,0,0,1,0,1,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13574,17010512101,KOINABHUI LP SCHOOL,Government Aided,1 - Primary,WEST GARO HILLS-1701,DALU-170105,KOINABHUI CRC-1707010006,Koinabhoi A,Rural,Co-ed,3,2,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,3,0,0,0,0,0,2,1,0,0,0,0,No,No,0,0,0,0,No,0,0,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13575,17010512201,LOKHIPARA GOVT. LP SCHOOL,Government,1 - Primary,WEST GARO HILLS-1701,DALU-170105,BORUAPARA CRC-1707010006,Lokkipara,Rural,Co-ed,4,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,1,0,0,0,0,0,1,0,0,0,0,0,No,Yes,1,0,0,0,Yes,1,0,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13576,17010512301,LOWER ONTHAPARA LP SCHOOL,Government,1 - Primary,WEST GARO HILLS-1701,DALU-170105,NAKDANPARA CRC-1707010006,Onthapara,Rural,Co-ed,4,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,No,No,No,No,2,0,1,0,1,0,0,0,0,0,0,0,No,No,0,0,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13577,17010512401,MACHANGPANI GOVT. LP SCHOOL,Government,1 - Primary,WEST GARO HILLS-1701,DALU-170105,MACHANGPANI CRC-1707010006,Machangpani,Rural,Co-ed,4,2,5,0,2,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,2,0,0,0,0,0,0,2,0,0,0,0,No,Yes,1,0,0,0,Yes,1,1,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13578,17010514903,WANKE MEMORIAL LPS,Private Unaided,1 - Primary,WEST GARO HILLS-1701,DALU-170105,JIJIKAPARA CRC-1707010006,Dapgiri,Rural,Co-ed,1,1,5,0,0,,,,2,5,2,No,No,N/A,No,No,No,Not applicable,No,No,No,No,4,0,0,0,0,4,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13579,17010516802,DALUGAON GOVT. LPS,Government,1 - Primary,WEST GARO HILLS-1701,DALU-170105,KILLAPARA CRC-1707010116,Dalugaon,Rural,Co-ed,4,2,1,1,3,,,,2,1,1,Yes,Yes,N/A,No,No,Yes,Yes,No,No,No,No,3,0,0,0,0,0,3,0,0,0,0,0,No,Yes,1,0,0,0,Yes,1,0,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13580,17010516901,DALU HINDI UPS,Government Aided,4 - Upper Primary only,WEST GARO HILLS-1701,DALU-170105,KILLAPARA CRC-1707010006,Chaipani B,Rural,Co-ed,3,3,5,0,1,,,,2,5,1,Yes,N/A,Yes,No,No,Yes,Yes,Yes,Yes,No,No,3,0,0,0,0,1,1,1,0,0,0,0,Yes,Yes,2,2,0,0,No,0,0,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,Yes,60,,,No,,Partial,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13581,17010516902,CHAIPANI HINDI GOVT. LPS,Government,1 - Primary,WEST GARO HILLS-1701,DALU-170105,KILLAPARA CRC-1707010006,Chaipani A,Rural,Co-ed,4,2,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,2,0,0,0,0,1,0,1,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13582,17010517701,TOKPARA GOVT. LPS,Government,1 - Primary,WEST GARO HILLS-1701,DALU-170105,SESENGPARA CRC-1707010116,Tokpara,Rural,Co-ed,4,1,5,1,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,2,0,0,0,0,0,0,2,0,0,0,0,Yes,Yes,1,1,0,0,Yes,2,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13583,17010519302,DILNIGRE SSA UPS,Government,4 - Upper Primary only,WEST GARO HILLS-1701,DALU-170105,JIJIKAPARA CRC-1707010006,Kujikura,Rural,Co-ed,4,1,5,0,0,,,,2,5,1,Yes,N/A,Yes,No,No,Yes,No,No,No,Yes,No,3,0,0,0,0,0,0,3,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,"Yes, but not functional",No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13584,17010605003,SEELGRE SSA LPS,Government,1 - Primary,WEST GARO HILLS-1701,GAMBEGRE-170106,RONGKHON MARENGGRE CRC-1707010006,Bolchugre,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13585,17010605102,NENGJAPARA SSA/ LPS,Government,1 - Primary,WEST GARO HILLS-1701,GAMBEGRE-170106,RONGKHON MARENGGRE CRC-1707010006,Nengjapara,Rural,Co-ed,3,2,5,0,1,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,Yes,No,No,No,2,0,0,0,0,1,1,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,Yes,,No,,,2,0,Yes,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,10,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13586,17010609601,JARIMPARA GOVT./ LPS,Government,1 - Primary,WEST GARO HILLS-1701,GAMBEGRE-170106,SANGKNIGRE CRC-1707010006,Jarimpara,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,Yes,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,72,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13587,17010612001,RONGATAGRE N-GOVT/ LPS,Government Aided,1 - Primary,WEST GARO HILLS-1701,GAMBEGRE-170106,DALUAGRE CRC-1707010006,Ronggatagre,Rural,Co-ed,3,2,5,0,0,,,,2,5,1,No,Yes,N/A,No,No,No,Not applicable,Yes,No,No,No,1,0,0,0,0,0,1,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13588,17010612206,DARENGRE SECONDARY SCHOOL,Government Aided,8 - Secondary Only,WEST GARO HILLS-1701,GAMBEGRE-170106,RONGNABAK CRC-1707010006,Lower Darengre,Rural,Co-ed,3,2,5,0,2,,,,2,5,2,Yes,N/A,N/A,No,Yes,No,Not applicable,Yes,No,Yes,No,2,1,0,2,0,0,0,0,0,0,0,0,Yes,Yes,2,2,0,0,Yes,1,1,0,0,Yes,Yes,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,10,No,2,2,0,Yes,Not Functional,10,0,0,0,0,0,,No,,0,,No,,0
13589,17010612301,UPPER DARENGRE GOVT./ LPS,Government,1 - Primary,WEST GARO HILLS-1701,GAMBEGRE-170106,AGINDARENGGRE CRC-1707010006,Upper Darengre,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,Yes,No,No,No,2,0,0,0,0,0,1,1,0,0,0,0,No,Yes,2,1,0,0,Yes,1,0,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13590,17010612401,RONGRONGGRE SSA/ LPS,Government,1 - Primary,WEST GARO HILLS-1701,GAMBEGRE-170106,RONGNABAK CRC-1707010006,Rongronggre,Rural,Co-ed,3,4,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,Yes,No,No,No,4,0,2,0,0,0,0,2,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,Yes,15,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13591,17010612502,GIMBILGRE SSA/ UPS,Government,4 - Upper Primary only,WEST GARO HILLS-1701,GAMBEGRE-170106,RONGNABAK CRC-1707010006,Gimbilgre,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,N/A,Yes,No,Yes,Yes,Yes,Yes,No,No,No,3,0,0,0,0,3,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,3,Not Applicable,2,2,0,No,Not Applicable,3,0,0,0,0,0,,No,,0,,No,,0
13592,17010612601,LOWER DOPGRE GOVT./ LPS,Government,1 - Primary,WEST GARO HILLS-1701,GAMBEGRE-170106,RONGNABAK CRC-1707010006,Lower Dopgre,Rural,Co-ed,3,2,5,0,0,,,,2,5,2,Yes,Yes,N/A,No,No,Yes,Yes,Yes,Yes,No,No,3,0,0,0,0,3,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13593,17010612701,AGINDARENGGRE GOVT./ LPS,Government,1 - Primary,WEST GARO HILLS-1701,GAMBEGRE-170106,AGINDARENGGRE CRC-1707010006,Agin Darengre,Rural,Co-ed,3,2,3,0,0,,,,2,3,2,Yes,Yes,N/A,No,No,Yes,No,Yes,No,No,No,3,0,0,0,1,0,0,2,0,0,0,0,Yes,Yes,1,1,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,3,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13594,17010614402,NOKATGRE (S) GOVT./ LPS,Government,1 - Primary,WEST GARO HILLS-1701,GAMBEGRE-170106,ALLAGRE CRC-1707010006,NOKATGRE WEST GARO HILLS MEGHALAYA,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,Yes,Yes,1,1,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13595,17010615501,DAGALGRE GOVT/ LPS,Government,1 - Primary,WEST GARO HILLS-1701,GAMBEGRE-170106,ALLAGRE CRC-1707010006,DAGALGRE PO RIMRANGPARA SOUTH GARO HILLS,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,1,0,No,Yes,1,1,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13596,17010615601,DANGJINGGRE GOVT/ LPS,Government,1 - Primary,WEST GARO HILLS-1701,GAMBEGRE-170106,ALLAGRE CRC-1707010006,DANGJINGGRE PO DEKU SOUTH GARO HILLS,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,Yes,No,No,No,1,0,0,0,0,0,1,0,0,0,0,0,No,Yes,1,1,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13597,17010616101,GANAPARA SSA/ LPS,Government,1 - Primary,WEST GARO HILLS-1701,GAMBEGRE-170106,DALUAGRE CRC-1707010006,Ganapara,Rural,Co-ed,3,2,5,0,0,,,,2,5,2,Yes,Yes,N/A,No,No,Yes,Yes,Yes,No,No,No,2,0,0,0,2,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,2,0,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13598,17010616302,BOLMAPARA SSA/ LPS,Government,1 - Primary,WEST GARO HILLS-1701,GAMBEGRE-170106,DANA BOLLONGGRE CRC-1707010006,Bolmapara,Rural,Co-ed,3,1,5,0,0,,,,2,5,2,Yes,Yes,N/A,No,No,No,Not applicable,Yes,No,No,No,2,0,0,0,0,0,1,1,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13599,17010616401,LOWER DABELAGRE SSA/ LPS,Government,1 - Primary,WEST GARO HILLS-1701,GAMBEGRE-170106,DOLLAMANDAGRE CRC-1707010006,Dabelagre,Rural,Co-ed,3,1,5,0,0,,,,2,5,2,Yes,Yes,N/A,No,No,Yes,Yes,Yes,No,No,No,1,1,0,0,0,0,1,0,0,0,0,0,No,Yes,1,0,0,0,Yes,1,1,0,0,Yes,No,Yes,No,No,No,,No,,,2,0,Yes,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,4,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13600,17010616601,DURAGRE SSA/ LPS,Government,1 - Primary,WEST GARO HILLS-1701,GAMBEGRE-170106,GAMBEGRE CRC-1707010006,Duragre,Rural,Co-ed,3,1,5,0,0,,,,2,5,2,Yes,Yes,N/A,No,No,No,Not applicable,Yes,No,No,No,1,0,0,0,1,0,0,0,0,0,0,0,Yes,Yes,2,1,0,0,Yes,2,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13601,17010616801,ABENDAGRE SSA/ LPS,Government,1 - Primary,WEST GARO HILLS-1701,GAMBEGRE-170106,SANGKNIGRE CRC-1707010006,Abendagre,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
13602,17010618401,UPPER DOPGRE SSA/ LPS,Government,1 - Primary,WEST GARO HILLS-1701,GAMBEGRE-170106,RONGNABAK CRC-1707010006,Upper Dopgre,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,Yes,No,No,No,2,0,0,0,0,1,1,0,0,0,0,0,Yes,Yes,2,2,1,1,Yes,1,1,1,1,No,No,No,No,No,No,,No,,,2,0,Yes,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,20,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
